ImageID,Source,LabelName,Confidence,mg_label,hv_label
4e47986a8b0dfffb,verification,/m/04hgtk,0,0,0
a902627fa74ee1e1,verification,/m/04hgtk,0,0,0
8e039c46050a4440,verification,/m/04hgtk,0,0,0
c49a65cad9160fc9,verification,/m/04hgtk,1,1,1
ac764caccbebd4fa,verification,/m/04hgtk,1,1,1
b82be70bdaac5199,verification,/m/04hgtk,1,0,1
a6a33aa130b1e9a7,verification,/m/04hgtk,0,0,0
b75dc8f9b341e1e5,verification,/m/04hgtk,1,1,1
af1efe94dd9f3cfa,verification,/m/04hgtk,1,0,1
ac8ef71d383b8dfb,verification,/m/04hgtk,0,0,0
a9897a110d5b8971,verification,/m/04hgtk,0,0,0
b909fcba82771323,verification,/m/04hgtk,0,0,0
09d64f43c7111879,verification,/m/04hgtk,1,1,1
0c10e0ce3d8f5f81,verification,/m/04hgtk,1,0,1
aaa517fbf112c358,verification,/m/04hgtk,1,1,1
6e13e4c33037db33,verification,/m/04hgtk,1,0,1
2834df29044b96a1,verification,/m/04hgtk,1,1,1
05ae3737394ad03a,verification,/m/04hgtk,1,1,1
53710f5df081acf8,verification,/m/04hgtk,0,0,0
58f524841563410b,verification,/m/04hgtk,1,0,1
c7c1644758fe5702,verification,/m/04hgtk,0,1,0
c8c1b88b4fdd188d,verification,/m/04hgtk,1,1,1
1a26752c2e4b1e7e,verification,/m/04hgtk,0,0,0
d082a058cadb1e75,verification,/m/04hgtk,0,0,0
177bf73e23ce2913,verification,/m/04hgtk,1,0,1
44d58486604ad2b8,verification,/m/04hgtk,0,0,0
64c8437b259538a2,verification,/m/04hgtk,0,0,0
cc80958ea71d6c83,verification,/m/04hgtk,0,0,0
532862997932dcaa,verification,/m/04hgtk,1,1,1
e612b7c74562dd8a,verification,/m/04hgtk,1,1,1
e9bf1a22e37eb768,verification,/m/04hgtk,0,0,0
d72dd8e6f1493ac1,verification,/m/04hgtk,0,0,0
4518dbe8e1a60a44,verification,/m/04hgtk,0,0,0
d560cfc36aecabb4,verification,/m/04hgtk,0,0,0
be5accadbe8f3e0a,verification,/m/04hgtk,1,0,1
0dfa8c149d4d6f39,verification,/m/04hgtk,1,1,1
ab3eca6b685c951f,verification,/m/04hgtk,0,0,0
c3d65ef2bfd92320,verification,/m/04hgtk,0,0,0
5c45f0a7bffce3f6,verification,/m/04hgtk,0,1,0
4fef43934b0aa8b9,verification,/m/04hgtk,0,0,0
c279551644a63a4e,verification,/m/04hgtk,0,0,0
0fb3a760f909c8c9,verification,/m/04hgtk,0,1,0
58399f10842aadac,verification,/m/04hgtk,0,0,0
e6fc9411b33a43f6,verification,/m/04hgtk,1,1,1
c6fa0a8fcd9961f1,verification,/m/04hgtk,1,1,1
d90df9e98df1fc17,verification,/m/04hgtk,0,0,0
ccd3db499d1c0774,verification,/m/04hgtk,1,1,1
1d5404ccdc97ed71,verification,/m/04hgtk,0,0,0
a9585ad7a02a5326,verification,/m/04hgtk,1,0,1
db0499337b67676d,verification,/m/04hgtk,0,1,0
a05a6a3daadcca6f,verification,/m/04hgtk,0,0,0
ca23bf53940f5a78,verification,/m/04hgtk,1,0,1
95e8518048936ca8,verification,/m/04hgtk,1,1,1
a915c162d91260ae,verification,/m/04hgtk,0,0,0
b95b0643e1270d60,verification,/m/04hgtk,1,1,1
be4e9ba1c8f74df3,verification,/m/04hgtk,1,1,1
5cebf97db9ad80be,verification,/m/04hgtk,0,1,0
e102aca146573d8a,verification,/m/04hgtk,1,0,1
7307ccdce6edb83d,verification,/m/04hgtk,0,0,0
8f97d3040f330750,verification,/m/04hgtk,0,0,0
97e37ec091a2f6fe,verification,/m/04hgtk,0,0,0
a2c3dedcab286534,verification,/m/04hgtk,1,0,1
52f3ec2e70c11e22,verification,/m/04hgtk,0,1,0
f2b4f771c051eac5,verification,/m/04hgtk,1,1,1
471b0ef14402b67b,verification,/m/04hgtk,1,0,1
5f35130b3d0e988a,verification,/m/04hgtk,1,1,1
5363d621910f284b,verification,/m/04hgtk,0,1,0
34078624f7f7d347,verification,/m/04hgtk,0,1,0
61de60ac57ed9a78,verification,/m/04hgtk,0,0,0
740ff13e08007497,verification,/m/04hgtk,0,0,0
cbe79ad7d8f3d623,verification,/m/04hgtk,1,0,1
a7064515a9b1608d,verification,/m/04hgtk,1,1,1
39fb462f5b52da45,verification,/m/04hgtk,1,1,1
528a7313575ffce8,verification,/m/04hgtk,1,1,1
02bf32177e000315,verification,/m/04hgtk,1,1,1
c9d9cea323d50bae,verification,/m/04hgtk,1,1,1
5a4b1f3381805ca0,verification,/m/04hgtk,1,1,1
e749101cfa640ac6,verification,/m/04hgtk,0,0,0
0f7ee92f35aa1493,verification,/m/04hgtk,1,0,1
d397a1d03f3276df,verification,/m/04hgtk,1,1,1
b26cf04e4e4d782b,verification,/m/04hgtk,0,0,0
fc05b780bb23feb1,verification,/m/04hgtk,1,1,1
cf14589d23cfe75e,verification,/m/04hgtk,1,1,1
3e479c3a144f6a33,verification,/m/04hgtk,1,0,1
599085a2e59935d6,verification,/m/04hgtk,1,0,1
9db76ab01387a961,verification,/m/04hgtk,0,0,0
a88af9bcda8155f0,verification,/m/04hgtk,1,0,1
810a5ed9f3f17d89,verification,/m/04hgtk,1,1,1
8801f37040e02d76,verification,/m/04hgtk,0,0,0
ec07654b0bc1eb85,verification,/m/04hgtk,1,1,1
7b6e5b0bb4aaa8ae,verification,/m/04hgtk,1,0,1
af71a48fe073a53c,verification,/m/04hgtk,1,1,1
692b7cd4cca2ee3c,verification,/m/04hgtk,1,1,1
e49438e73a254abc,verification,/m/04hgtk,0,0,0
f3c656d69fa7fe8c,verification,/m/04hgtk,1,1,1
d9f6cc68c666b47c,verification,/m/04hgtk,1,1,1
692b7cd4cca2ee3c,verification,/m/04hgtk,1,0,1
47ce52e7ac5c4a71,verification,/m/04hgtk,1,1,1
b02139de9153242e,verification,/m/04hgtk,1,1,1
660388122d5fed7c,verification,/m/04hgtk,0,1,0
6687943e304bbaa4,verification,/m/04hgtk,1,1,1
a937196828de013a,verification,/m/04hgtk,0,1,0
